,country_name,state_ansi,source_desc,year,sector_desc,reference_period_desc,country_code,begin_code,state_name,domaincat_desc,util_practice_desc,state_alpha,county_code,group_desc,load_time,zip_5,freq_desc,CV (%),class_desc,region_desc,short_desc,asd_code,commodity_desc,Value,agg_level_desc,asd_desc,watershed_desc,week_ending,unit_desc,prodn_practice_desc,congr_district_code,statisticcat_desc,end_code,county_ansi,watershed_code,location_desc,county_name,state_fips_code,domain_desc
1,UNITED STATES,1,CENSUS,2017,DEMOGRAPHICS,YEAR,9000,0,ALABAMA,NOT SPECIFIED,ALL UTILIZATION PRACTICES,AL,,PRODUCERS,00:00.0,,ANNUAL,15.8,ALL CLASSES,,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, LT 11 YEARS - NUMBER OF PRODUCERS",,"PRODUCERS, PRINCIPAL","15,050",STATE,,,,PRODUCERS,"YEARS ON ANY OPERATION, LT 11 YEARS",,PRODUCERS,0,,0,ALABAMA,,1,TOTAL
2,UNITED STATES,2,CENSUS,2017,DEMOGRAPHICS,YEAR,9000,0,ALASKA,NOT SPECIFIED,ALL UTILIZATION PRACTICES,AK,,PRODUCERS,00:00.0,,ANNUAL,2.6,ALL CLASSES,,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, LT 11 YEARS - NUMBER OF PRODUCERS",,"PRODUCERS, PRINCIPAL",594,STATE,,,,PRODUCERS,"YEARS ON ANY OPERATION, LT 11 YEARS",,PRODUCERS,0,,0,ALASKA,,2,TOTAL
3,UNITED STATES,4,CENSUS,2017,DEMOGRAPHICS,YEAR,9000,0,ARIZONA,NOT SPECIFIED,ALL UTILIZATION PRACTICES,AZ,,PRODUCERS,00:00.0,,ANNUAL,46.8,ALL CLASSES,,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, LT 11 YEARS - NUMBER OF PRODUCERS",,"PRODUCERS, PRINCIPAL","5,204",STATE,,,,PRODUCERS,"YEARS ON ANY OPERATION, LT 11 YEARS",,PRODUCERS,0,,0,ARIZONA,,4,TOTAL
4,UNITED STATES,5,CENSUS,2017,DEMOGRAPHICS,YEAR,9000,0,ARKANSAS,NOT SPECIFIED,ALL UTILIZATION PRACTICES,AR,,PRODUCERS,00:00.0,,ANNUAL,11.9,ALL CLASSES,,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, LT 11 YEARS - NUMBER OF PRODUCERS",,"PRODUCERS, PRINCIPAL","15,833",STATE,,,,PRODUCERS,"YEARS ON ANY OPERATION, LT 11 YEARS",,PRODUCERS,0,,0,ARKANSAS,,5,TOTAL
5,UNITED STATES,6,CENSUS,2017,DEMOGRAPHICS,YEAR,9000,0,CALIFORNIA,NOT SPECIFIED,ALL UTILIZATION PRACTICES,CA,,PRODUCERS,00:00.0,,ANNUAL,7.4,ALL CLASSES,,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, LT 11 YEARS - NUMBER OF PRODUCERS",,"PRODUCERS, PRINCIPAL","25,584",STATE,,,,PRODUCERS,"YEARS ON ANY OPERATION, LT 11 YEARS",,PRODUCERS,0,,0,CALIFORNIA,,6,TOTAL
6,UNITED STATES,8,CENSUS,2017,DEMOGRAPHICS,YEAR,9000,0,COLORADO,NOT SPECIFIED,ALL UTILIZATION PRACTICES,CO,,PRODUCERS,00:00.0,,ANNUAL,16.2,ALL CLASSES,,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, LT 11 YEARS - NUMBER OF PRODUCERS",,"PRODUCERS, PRINCIPAL","15,889",STATE,,,,PRODUCERS,"YEARS ON ANY OPERATION, LT 11 YEARS",,PRODUCERS,0,,0,COLORADO,,8,TOTAL
7,UNITED STATES,9,CENSUS,2017,DEMOGRAPHICS,YEAR,9000,0,CONNECTICUT,NOT SPECIFIED,ALL UTILIZATION PRACTICES,CT,,PRODUCERS,00:00.0,,ANNUAL,24.5,ALL CLASSES,,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, LT 11 YEARS - NUMBER OF PRODUCERS",,"PRODUCERS, PRINCIPAL","2,132",STATE,,,,PRODUCERS,"YEARS ON ANY OPERATION, LT 11 YEARS",,PRODUCERS,0,,0,CONNECTICUT,,9,TOTAL
8,UNITED STATES,10,CENSUS,2017,DEMOGRAPHICS,YEAR,9000,0,DELAWARE,NOT SPECIFIED,ALL UTILIZATION PRACTICES,DE,,PRODUCERS,00:00.0,,ANNUAL,22.7,ALL CLASSES,,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, LT 11 YEARS - NUMBER OF PRODUCERS",,"PRODUCERS, PRINCIPAL",577,STATE,,,,PRODUCERS,"YEARS ON ANY OPERATION, LT 11 YEARS",,PRODUCERS,0,,0,DELAWARE,,10,TOTAL
9,UNITED STATES,12,CENSUS,2017,DEMOGRAPHICS,YEAR,9000,0,FLORIDA,NOT SPECIFIED,ALL UTILIZATION PRACTICES,FL,,PRODUCERS,00:00.0,,ANNUAL,9.8,ALL CLASSES,,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, LT 11 YEARS - NUMBER OF PRODUCERS",,"PRODUCERS, PRINCIPAL","19,103",STATE,,,,PRODUCERS,"YEARS ON ANY OPERATION, LT 11 YEARS",,PRODUCERS,0,,0,FLORIDA,,12,TOTAL
10,UNITED STATES,13,CENSUS,2017,DEMOGRAPHICS,YEAR,9000,0,GEORGIA,NOT SPECIFIED,ALL UTILIZATION PRACTICES,GA,,PRODUCERS,00:00.0,,ANNUAL,9.1,ALL CLASSES,,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, LT 11 YEARS - NUMBER OF PRODUCERS",,"PRODUCERS, PRINCIPAL","17,485",STATE,,,,PRODUCERS,"YEARS ON ANY OPERATION, LT 11 YEARS",,PRODUCERS,0,,0,GEORGIA,,13,TOTAL
