,week_ending,unit_desc,watershed_desc,Value,agg_level_desc,asd_desc,commodity_desc,asd_code,county_name,location_desc,domain_desc,state_fips_code,county_ansi,end_code,watershed_code,congr_district_code,prodn_practice_desc,statisticcat_desc,state_name,begin_code,country_code,reference_period_desc,sector_desc,year,state_ansi,country_name,source_desc,class_desc,CV (%),short_desc,region_desc,load_time,zip_5,freq_desc,group_desc,county_code,util_practice_desc,state_alpha,domaincat_desc
1,,PRODUCERS,,"38,013",STATE,,"PRODUCERS, PRINCIPAL",,,ALABAMA,TOTAL,1,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,ALABAMA,0,9000,YEAR,DEMOGRAPHICS,2017,1,UNITED STATES,CENSUS,ALL CLASSES,4.1,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,AL,NOT SPECIFIED
2,,PRODUCERS,,780,STATE,,"PRODUCERS, PRINCIPAL",,,ALASKA,TOTAL,2,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,ALASKA,0,9000,YEAR,DEMOGRAPHICS,2017,2,UNITED STATES,CENSUS,ALL CLASSES,1.1,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,AK,NOT SPECIFIED
3,,PRODUCERS,,"20,154",STATE,,"PRODUCERS, PRINCIPAL",,,ARIZONA,TOTAL,4,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,ARIZONA,0,9000,YEAR,DEMOGRAPHICS,2017,4,UNITED STATES,CENSUS,ALL CLASSES,27.5,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,AZ,NOT SPECIFIED
4,,PRODUCERS,,"42,513",STATE,,"PRODUCERS, PRINCIPAL",,,ARKANSAS,TOTAL,5,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,ARKANSAS,0,9000,YEAR,DEMOGRAPHICS,2017,5,UNITED STATES,CENSUS,ALL CLASSES,4.7,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,AR,NOT SPECIFIED
5,,PRODUCERS,,"73,352",STATE,,"PRODUCERS, PRINCIPAL",,,CALIFORNIA,TOTAL,6,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,CALIFORNIA,0,9000,YEAR,DEMOGRAPHICS,2017,6,UNITED STATES,CENSUS,ALL CLASSES,3.9,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,CA,NOT SPECIFIED
6,,PRODUCERS,,"39,850",STATE,,"PRODUCERS, PRINCIPAL",,,COLORADO,TOTAL,8,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,COLORADO,0,9000,YEAR,DEMOGRAPHICS,2017,8,UNITED STATES,CENSUS,ALL CLASSES,7.5,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,CO,NOT SPECIFIED
7,,PRODUCERS,,"5,460",STATE,,"PRODUCERS, PRINCIPAL",,,CONNECTICUT,TOTAL,9,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,CONNECTICUT,0,9000,YEAR,DEMOGRAPHICS,2017,9,UNITED STATES,CENSUS,ALL CLASSES,10,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,CT,NOT SPECIFIED
8,,PRODUCERS,,"2,561",STATE,,"PRODUCERS, PRINCIPAL",,,DELAWARE,TOTAL,10,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,DELAWARE,0,9000,YEAR,DEMOGRAPHICS,2017,10,UNITED STATES,CENSUS,ALL CLASSES,9.2,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,DE,NOT SPECIFIED
9,,PRODUCERS,,"45,352",STATE,,"PRODUCERS, PRINCIPAL",,,FLORIDA,TOTAL,12,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,FLORIDA,0,9000,YEAR,DEMOGRAPHICS,2017,12,UNITED STATES,CENSUS,ALL CLASSES,4.2,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,FL,NOT SPECIFIED
10,,PRODUCERS,,"37,940",STATE,,"PRODUCERS, PRINCIPAL",,,GEORGIA,TOTAL,13,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,GEORGIA,0,9000,YEAR,DEMOGRAPHICS,2017,13,UNITED STATES,CENSUS,ALL CLASSES,3.9,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,GA,NOT SPECIFIED
11,,PRODUCERS,,"6,937",STATE,,"PRODUCERS, PRINCIPAL",,,HAWAII,TOTAL,15,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,HAWAII,0,9000,YEAR,DEMOGRAPHICS,2017,15,UNITED STATES,CENSUS,ALL CLASSES,9.3,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,HI,NOT SPECIFIED
12,,PRODUCERS,,"25,385",STATE,,"PRODUCERS, PRINCIPAL",,,IDAHO,TOTAL,16,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,IDAHO,0,9000,YEAR,DEMOGRAPHICS,2017,16,UNITED STATES,CENSUS,ALL CLASSES,4.6,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,ID,NOT SPECIFIED
13,,PRODUCERS,,"74,134",STATE,,"PRODUCERS, PRINCIPAL",,,ILLINOIS,TOTAL,17,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,ILLINOIS,0,9000,YEAR,DEMOGRAPHICS,2017,17,UNITED STATES,CENSUS,ALL CLASSES,2.8,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,IL,NOT SPECIFIED
14,,PRODUCERS,,"58,124",STATE,,"PRODUCERS, PRINCIPAL",,,INDIANA,TOTAL,18,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,INDIANA,0,9000,YEAR,DEMOGRAPHICS,2017,18,UNITED STATES,CENSUS,ALL CLASSES,3.3,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,IN,NOT SPECIFIED
15,,PRODUCERS,,"92,930",STATE,,"PRODUCERS, PRINCIPAL",,,IOWA,TOTAL,19,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,IOWA,0,9000,YEAR,DEMOGRAPHICS,2017,19,UNITED STATES,CENSUS,ALL CLASSES,2,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,IA,NOT SPECIFIED
16,,PRODUCERS,,"59,771",STATE,,"PRODUCERS, PRINCIPAL",,,KANSAS,TOTAL,20,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,KANSAS,0,9000,YEAR,DEMOGRAPHICS,2017,20,UNITED STATES,CENSUS,ALL CLASSES,2.8,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,KS,NOT SPECIFIED
17,,PRODUCERS,,"74,180",STATE,,"PRODUCERS, PRINCIPAL",,,KENTUCKY,TOTAL,21,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,KENTUCKY,0,9000,YEAR,DEMOGRAPHICS,2017,21,UNITED STATES,CENSUS,ALL CLASSES,4,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,KY,NOT SPECIFIED
18,,PRODUCERS,,"25,802",STATE,,"PRODUCERS, PRINCIPAL",,,LOUISIANA,TOTAL,22,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,LOUISIANA,0,9000,YEAR,DEMOGRAPHICS,2017,22,UNITED STATES,CENSUS,ALL CLASSES,4,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,LA,NOT SPECIFIED
